time_sec,value
0.001434326171875,858.0
0.002721548080444336,859.0
0.003955841064453125,861.0
0.0053174495697021484,859.0
0.0066792964935302734,858.0
0.007777690887451172,859.0
0.009071111679077148,859.0
0.010394811630249023,859.0
0.011654853820800781,860.0
0.01292562484741211,859.0
0.014177799224853516,860.0
0.015353202819824219,860.0
0.016707658767700195,858.0
0.018140792846679688,860.0
0.019389629364013672,860.0
0.020687580108642578,859.0
0.02198004722595215,860.0
0.023101091384887695,859.0
0.024359941482543945,860.0
0.02579212188720703,859.0
0.027174949645996094,860.0
0.02846074104309082,862.0
0.02974104881286621,860.0
0.031145334243774414,861.0
0.03240609169006348,858.0
0.03364872932434082,859.0
0.03486776351928711,861.0
0.03607606887817383,861.0
0.037157297134399414,858.0
0.038381338119506836,860.0
0.03960919380187988,859.0
0.040853261947631836,860.0
0.042183876037597656,858.0
0.04354715347290039,860.0
0.0446474552154541,859.0
0.050199031829833984,860.0
0.06257128715515137,859.0
0.07871270179748535,856.0
0.09346771240234375,858.0
0.10341095924377441,859.0
0.11575007438659668,859.0
0.13187360763549805,859.0
0.1444709300994873,860.0
0.1566920280456543,858.0
0.17259693145751953,860.0
0.1862027645111084,858.0
0.19755816459655762,858.0
0.21010661125183105,860.0
0.22605633735656738,859.0
0.23840045928955078,857.0
0.2516813278198242,860.0
0.26674556732177734,859.0
0.2794053554534912,858.0
0.2919032573699951,858.0
0.30394649505615234,859.0
0.31647634506225586,859.0
0.33258509635925293,861.0
0.3452324867248535,858.0
0.3575148582458496,859.0
0.3696911334991455,859.0
0.385817289352417,860.0
0.39813899993896484,858.0
0.41100049018859863,860.0
0.4266185760498047,861.0
0.4392857551574707,859.0
0.45148229598999023,859.0
0.46381711959838867,861.0
0.4799976348876953,857.0
0.49250030517578125,860.0
0.5050945281982422,859.0
0.517096996307373,857.0
0.5331070423126221,861.0
0.5456933975219727,859.0
0.5580699443817139,857.0
0.5742981433868408,860.0
0.5867259502410889,859.0
0.5988051891326904,859.0
