time_sec,value
0.0007810592651367188,860.0
0.003997802734375,860.0
0.006236553192138672,859.0
0.008393049240112305,859.0
0.010275125503540039,860.0
0.011847734451293945,858.0
0.013172149658203125,859.0
0.01438283920288086,858.0
0.01582813262939453,857.0
0.017210006713867188,859.0
0.018620729446411133,859.0
0.020009756088256836,857.0
0.021497011184692383,860.0
0.022629261016845703,860.0
0.02391839027404785,857.0
0.025311708450317383,861.0
0.028092145919799805,861.0
0.029441118240356445,858.0
0.030732393264770508,861.0
0.03193807601928711,859.0
0.03315162658691406,858.0
0.03438520431518555,859.0
0.03563284873962402,860.0
0.03683924674987793,860.0
0.038054466247558594,860.0
0.03911399841308594,862.0
0.04037809371948242,857.0
0.04176640510559082,859.0
0.043085575103759766,862.0
0.04446744918823242,858.0
0.045598506927490234,858.0
0.04683423042297363,861.0
0.04849696159362793,857.0
0.04996895790100098,861.0
0.051225900650024414,859.0
0.05257105827331543,857.0
0.053731679916381836,860.0
0.05499458312988281,859.0
0.06455874443054199,857.0
0.0772087574005127,858.0
0.09067559242248535,861.0
0.10547900199890137,857.0
0.11762642860412598,860.0
0.13013100624084473,860.0
0.14276552200317383,857.0
0.15900897979736328,858.0
0.17098331451416016,861.0
0.1835312843322754,856.0
0.19571208953857422,858.0
0.21230387687683105,861.0
0.22454285621643066,858.0
0.23665165901184082,859.0
0.2528085708618164,862.0
0.26518917083740234,858.0
0.27790069580078125,859.0
0.29022908210754395,859.0
0.3062121868133545,857.0
0.3187692165374756,859.0
0.3308584690093994,863.0
0.3432960510253906,857.0
0.35936999320983887,859.0
0.3718605041503906,861.0
0.38407325744628906,857.0
0.4000563621520996,859.0
0.412921667098999,862.0
0.4250984191894531,858.0
0.43761563301086426,861.0
0.4536154270172119,861.0
0.4658677577972412,858.0
0.47837209701538086,859.0
0.4909236431121826,861.0
0.5068204402923584,858.0
0.5193197727203369,857.0
0.5314340591430664,862.0
0.5440945625305176,856.0
0.5600540637969971,858.0
0.5725882053375244,861.0
0.5849149227142334,857.0
0.597081184387207,859.0
0.6132960319519043,859.0
0.6257388591766357,857.0
0.6383936405181885,860.0
0.6504943370819092,860.0
0.6696152687072754,858.0
0.6790359020233154,858.0
0.6913583278656006,859.0
0.7077906131744385,856.0
0.7199628353118896,860.0
0.7325339317321777,861.0
0.7445108890533447,858.0
0.7605254650115967,860.0
0.7737729549407959,861.0
0.7855627536773682,857.0
0.8018817901611328,858.0
0.8139562606811523,861.0
0.8262226581573486,857.0
0.8398590087890625,858.0
0.851226806640625,861.0
0.8676764965057373,859.0
0.8797221183776855,859.0
0.8918788433074951,861.0
0.9046814441680908,857.0
0.9205474853515625,857.0
0.9331815242767334,861.0
0.9454131126403809,856.0
0.9614379405975342,859.0
0.974999189376831,860.0
0.98618483543396,858.0
0.9988727569580078,858.0
1.0149626731872559,857.0
1.027038335800171,859.0
1.0408039093017578,857.0
1.051788568496704,858.0
1.0681483745574951,857.0
1.0806517601013184,860.0
1.0927257537841797,859.0
1.1087822914123535,858.0
1.1211025714874268,859.0
1.133913278579712,859.0
1.1461312770843506,858.0
1.162069320678711,860.0
1.1746187210083008,860.0
1.1868257522583008,859.0
1.199289321899414,859.0
1.2152938842773438,860.0
1.2279846668243408,857.0
1.2400994300842285,859.0
1.2524292469024658,861.0
1.2687010765075684,858.0
1.2809216976165771,859.0
1.2936241626739502,860.0
1.3059523105621338,858.0
1.321793556213379,860.0
1.3346238136291504,860.0
1.3468096256256104,857.0
1.3591527938842773,859.0
1.3753371238708496,860.0
1.387441873550415,859.0
1.4000837802886963,859.0
1.4159667491912842,860.0
1.4283785820007324,857.0
1.4410250186920166,855.0
1.4530525207519531,860.0
1.4692275524139404,856.0
1.4818227291107178,858.0
1.4959852695465088,858.0
1.5089848041534424,859.0
1.5226716995239258,860.0
1.5349576473236084,859.0
1.5473015308380127,857.0
1.5634181499481201,858.0
1.5760595798492432,861.0
1.5883572101593018,859.0
1.6010584831237793,859.0
1.6129570007324219,861.0
1.6292879581451416,856.0
1.6416006088256836,859.0
1.6540744304656982,860.0
1.6702649593353271,857.0
1.6822218894958496,860.0
1.6956865787506104,859.0
1.7072455883026123,857.0
1.7236318588256836,860.0
1.7355823516845703,859.0
1.7478833198547363,857.0
1.7609226703643799,858.0
1.7764768600463867,860.0
1.789153814315796,857.0
1.801438808441162,859.0
1.813434362411499,861.0
1.8310439586639404,859.0
1.8422505855560303,857.0
1.854862928390503,860.0
1.8708407878875732,856.0
1.8830780982971191,858.0
1.8954415321350098,858.0
1.9077496528625488,858.0
1.9240467548370361,859.0
1.9366276264190674,861.0
1.9486072063446045,858.0
1.9648017883300781,859.0
1.9770739078521729,858.0
1.9897470474243164,856.0
2.0023107528686523,858.0
2.014268398284912,861.0
2.0306105613708496,858.0
2.042660713195801,860.0
2.055246591567993,858.0
2.067849636077881,857.0
2.0839645862579346,859.0
2.0961601734161377,859.0
2.108510732650757,857.0
2.1247215270996094,857.0
2.1374123096466064,860.0
2.149632692337036,859.0
2.1619832515716553,858.0
2.1777617931365967,859.0
2.190422773361206,856.0
2.2029101848602295,858.0
2.2151241302490234,860.0
2.2312049865722656,859.0
2.2434792518615723,858.0
2.256068706512451,860.0
2.2720139026641846,858.0
2.2845232486724854,858.0
2.2970221042633057,861.0
2.3090102672576904,858.0
2.325510263442993,856.0
2.3378100395202637,858.0
2.3502845764160156,859.0
2.362536668777466,858.0
2.3785343170166016,861.0
2.3909897804260254,858.0
2.403324842453003,857.0
2.4159860610961914,859.0
2.431776762008667,858.0
2.444035053253174,857.0
2.456583023071289,860.0
2.469080686569214,860.0
2.485832452774048,857.0
2.4975368976593018,860.0
2.5097689628601074,858.0
2.5222296714782715,858.0
2.5382492542266846,860.0
2.55195951461792,858.0
2.5634307861328125,859.0
2.5796890258789062,868.0
2.5916104316711426,881.0
2.603973388671875,876.0
2.6168313026428223,880.0
2.6324925422668457,879.0
2.6452903747558594,875.0
2.657458543777466,878.0
2.6694910526275635,879.0
2.685769557952881,876.0
2.6982524394989014,878.0
2.7107832431793213,881.0
2.7268481254577637,877.0
2.738978862762451,879.0
2.7531986236572266,878.0
2.7638001441955566,876.0
2.7764947414398193,878.0
2.792604684829712,876.0
2.8045995235443115,876.0
2.8170340061187744,874.0
2.8330047130584717,874.0
2.845615863800049,872.0
2.8581998348236084,874.0
2.870284080505371,872.0
2.8865976333618164,863.0
2.8986847400665283,862.0
2.9113035202026367,860.0
2.923818588256836,859.0
2.9398388862609863,860.0
2.952160120010376,859.0
2.964599132537842,859.0
2.977322578430176,860.0
2.9931368827819824,862.0
3.0060510635375977,859.0
3.0183463096618652,859.0
3.033884048461914,862.0
3.0467679500579834,859.0
3.0591745376586914,860.0
3.0711398124694824,862.0
3.0870635509490967,859.0
3.099724054336548,861.0
3.112705707550049,861.0
3.124643325805664,858.0
3.140641212463379,860.0
3.1529674530029297,859.0
3.165238618850708,857.0
3.1779298782348633,860.0
3.1942646503448486,861.0
3.206256628036499,858.0
3.218596935272217,861.0
3.2310631275177,859.0
3.247220754623413,858.0
3.2596938610076904,859.0
3.2722487449645996,862.0
3.2879230976104736,858.0
3.3002700805664062,860.0
3.316053628921509,859.0
3.3256962299346924,858.0
3.3413195610046387,858.0
3.3539645671844482,858.0
3.365966558456421,857.0
3.3786749839782715,858.0
3.3944151401519775,858.0
3.407335042953491,857.0
3.4195828437805176,860.0
3.4315271377563477,861.0
