time,signal,peak
0.0,0.08,0
0.0015332698822021484,0.43,1
0.0015332698822021484,0.79,1
0.0015332698822021484,0.61,1
0.0015332698822021484,0.22,1
0.0015332698822021484,0.34,1
0.0015332698822021484,0.45,1
0.0015332698822021484,0.19,1
0.0015332698822021484,0.18,1
0.0052490234375,0.25,1
0.0052490234375,0.07,0
0.006421566009521484,0.08,0
0.019345760345458984,0.13,0
0.03249812126159668,-0.06,0
0.04436063766479492,-0.02,0
0.05908036231994629,0.04,0
0.07261395454406738,-0.14,0
0.08555006980895996,-0.1,0
0.09848666191101074,-0.03,0
0.1115884780883789,-0.22,0
0.12163615226745605,-0.16,0
0.13230347633361816,-0.08,0
0.15271329879760742,-0.25,0
0.16501092910766602,-0.19,0
0.17615151405334473,-0.12,0
0.1912529468536377,-0.29,0
0.20151925086975098,-0.23,0
0.21737265586853027,-0.14,0
0.23258614540100098,-0.3,0
0.2425706386566162,-0.24,0
0.2552616596221924,-0.15,0
0.27182769775390625,-0.32,0
0.2830545902252197,-0.26,0
0.29822230339050293,-0.17,0
0.31168365478515625,-0.33,0
0.3215146064758301,-0.27,0
0.3328714370727539,-0.16,0
0.35149335861206055,-0.3,0
0.36584901809692383,-0.23,0
0.3723592758178711,-0.14,0
0.39130187034606934,-0.28,0
0.4015953540802002,-0.21,0
0.4190700054168701,-0.11,0
0.43250536918640137,-0.25,0
0.4414811134338379,-0.18,0
0.45420241355895996,-0.08,0
0.4716486930847168,-0.23,0
0.48476457595825195,-0.15,0
0.4991631507873535,-0.05,0
0.511275053024292,-0.2,0
0.5233895778656006,-0.13,0
0.5335562229156494,-0.03,0
0.5516607761383057,-0.17,0
0.565932035446167,-0.1,0
0.5778582096099854,-0.0,0
0.5912535190582275,-0.14,0
0.6024887561798096,-0.06,0
0.6164309978485107,0.03,0
0.6324794292449951,-0.11,0
0.6415266990661621,-0.04,0
0.6546673774719238,0.06,0
0.6718595027923584,-0.09,0
0.6850652694702148,-0.01,0
0.6991558074951172,0.08,0
0.7113957405090332,-0.07,0
0.7211635112762451,0.0,0
0.7390148639678955,0.1,0
0.751763105392456,-0.04,0
0.7673256397247314,0.03,0
0.7727231979370117,0.12,0
0.7917323112487793,-0.03,0
0.8014709949493408,0.05,0
0.8155131340026855,0.14,0
0.8322646617889404,-0.01,0
0.8415737152099609,0.07,0
0.8562467098236084,0.16,0
0.871549129486084,0.0,0
0.882988452911377,0.08,0
0.8991219997406006,0.17,0
0.9115979671478271,0.01,0
0.9216969013214111,0.09,0
0.933121919631958,0.18,0
0.952019453048706,0.04,0
0.9657330513000488,0.13,0
0.9728085994720459,0.22,1
0.9913287162780762,0.04,0
1.0026683807373047,0.11,0
1.0169000625610352,0.19,0
1.0324523448944092,0.03,0
1.0415492057800293,0.1,0
1.056715488433838,0.19,0
1.071775197982788,0.03,0
1.0843815803527832,0.09,0
1.0993773937225342,0.18,0
1.1115400791168213,0.02,0
1.1246697902679443,0.09,0
1.1330864429473877,0.17,0
1.1523046493530273,0.0,0
1.1657748222351074,0.06,0
1.1726977825164795,0.15,0
1.1912686824798584,0.01,0
1.201448917388916,0.07,0
1.2166504859924316,0.16,0
1.2324750423431396,0.02,0
1.2457456588745117,0.09,0
1.2512848377227783,0.17,0
1.2713396549224854,0.02,0
1.2825117111206055,0.09,0
1.2991423606872559,0.18,0
1.3113243579864502,0.02,0
1.3216557502746582,0.08,0
1.3336734771728516,0.17,0
1.3519690036773682,0.01,0
1.3658480644226074,0.08,0
1.3734421730041504,0.16,0
1.3913707733154297,0.01,0
1.4014358520507812,0.08,0
1.4182991981506348,0.16,0
1.4324939250946045,-0.01,0
1.4414803981781006,0.06,0
1.454718828201294,0.15,0
1.4715306758880615,-0.02,0
1.4860289096832275,0.05,0
1.4991886615753174,0.13,0
1.5115230083465576,-0.03,0
1.5236377716064453,0.03,0
1.533684492111206,0.11,0
1.5515563488006592,-0.05,0
1.5647988319396973,0.02,0
1.577601432800293,0.1,0
1.5914113521575928,-0.05,0
1.6024506092071533,0.02,0
1.6155519485473633,0.09,0
1.6319708824157715,-0.07,0
1.641294002532959,-0.01,0
1.6535487174987793,0.08,0
1.6718263626098633,-0.07,0
1.682811975479126,-0.01,0
1.6992592811584473,0.08,0
1.7115216255187988,-0.07,0
1.7236130237579346,-0.0,0
1.7352030277252197,0.08,0
1.751375436782837,-0.08,0
1.7651376724243164,-0.02,0
1.7730615139007568,0.06,0
1.7925941944122314,-0.09,0
1.8023672103881836,-0.03,0
1.8189418315887451,0.06,0
1.8326551914215088,-0.09,0
1.8416142463684082,-0.02,0
1.8593225479125977,0.06,0
1.8719947338104248,-0.1,0
1.883535623550415,-0.03,0
1.898986577987671,0.05,0
1.9115533828735352,-0.11,0
1.9233896732330322,-0.04,0
1.9345169067382812,0.05,0
1.9514362812042236,-0.1,0
1.9655699729919434,-0.03,0
1.972149133682251,0.05,0
1.991856336593628,-0.11,0
2.0041909217834473,-0.04,0
2.0165538787841797,0.04,0
2.032353401184082,-0.11,0
2.0416266918182373,-0.04,0
2.053086519241333,0.04,0
2.0724902153015137,-0.11,0
2.0826351642608643,-0.04,0
2.098994493484497,0.04,0
2.1112289428710938,-0.11,0
2.123560905456543,-0.04,0
2.134622573852539,0.04,0
2.1514840126037598,-0.11,0
2.164755344390869,-0.04,0
2.1777243614196777,0.04,0
2.19158935546875,-0.12,0
2.201395273208618,-0.04,0
2.2172353267669678,0.04,0
2.2318689823150635,-0.11,0
2.2415106296539307,-0.04,0
2.2541136741638184,0.04,0
2.2713685035705566,-0.12,0
2.2848761081695557,-0.04,0
2.2992284297943115,0.04,0
2.311690092086792,-0.11,0
2.3232579231262207,-0.04,0
2.3352770805358887,0.04,0
2.351463794708252,-0.1,0
2.3657679557800293,-0.02,0
2.3729519844055176,0.06,0
2.3911988735198975,-0.1,0
2.4022576808929443,-0.02,0
2.418626546859741,0.06,0
2.4324536323547363,-0.09,0
2.4412288665771484,-0.02,0
2.4538793563842773,0.06,0
2.4712634086608887,-0.1,0
2.485795736312866,-0.02,0
2.4990615844726562,0.06,0
2.511502504348755,-0.09,0
2.5216822624206543,-0.02,0
2.5326058864593506,0.06,0
2.551534652709961,-0.1,0
2.565861940383911,-0.03,0
2.575474500656128,0.05,0
2.591508388519287,-0.11,0
2.6014134883880615,-0.03,0
2.6169490814208984,0.05,0
2.632512092590332,-0.11,0
2.6413261890411377,-0.04,0
2.6544275283813477,0.05,0
2.6725409030914307,-0.1,0
2.682804584503174,-0.03,0
2.6984636783599854,0.05,0
2.711452007293701,-0.1,0
2.723825454711914,-0.03,0
2.7352659702301025,0.05,0
2.751704454421997,-0.09,0
2.7658421993255615,-0.01,0
2.7738828659057617,0.07,0
2.791532278060913,-0.09,0
2.8014461994171143,-0.02,0
2.8155810832977295,0.06,0
2.8325157165527344,-0.08,0
2.841639518737793,0.01,0
2.8534302711486816,0.11,0
2.871445417404175,-0.03,0
2.8840978145599365,0.04,0
2.8991475105285645,0.1,0
2.9114880561828613,-0.06,0
2.9223320484161377,0.01,0
2.9324228763580322,0.09,0
2.9522194862365723,-0.07,0
2.964916706085205,0.0,0
2.974447727203369,0.08,0
2.992612838745117,-0.07,0
3.0057709217071533,-0.0,0
3.0187439918518066,0.08,0
3.032102584838867,-0.08,0
3.0431861877441406,-0.0,0
3.058572292327881,0.07,0
3.0717034339904785,-0.08,0
3.0856261253356934,-0.01,0
3.0986573696136475,0.08,0
3.1116597652435303,-0.07,0
3.1214537620544434,-0.0,0
3.1324656009674072,0.08,0
3.1516082286834717,-0.07,0
3.1649327278137207,0.01,0
3.1746513843536377,0.09,0
3.1915457248687744,-0.06,0
3.201615810394287,0.01,0
3.218820333480835,0.1,0
3.232677936553955,-0.06,0
3.2414443492889404,0.02,0
3.2550132274627686,0.1,0
3.2715988159179688,-0.05,0
3.2822344303131104,0.02,0
3.2983241081237793,0.1,0
3.3116557598114014,-0.06,0
3.3226804733276367,0.02,0
3.3340258598327637,0.09,0
3.3525049686431885,-0.06,0
3.365571975708008,0.01,0
3.37493634223938,0.09,0
3.391517162322998,-0.07,0
3.401148557662964,0.01,0
3.416025400161743,0.09,0
3.4327948093414307,-0.06,0
3.4415760040283203,0.01,0
3.4525856971740723,0.09,0
3.471407413482666,-0.06,0
3.483168840408325,0.01,0
3.498713731765747,0.09,0
3.511171579360962,-0.06,0
3.5255420207977295,0.01,0
3.533355712890625,0.09,0
3.5514023303985596,-0.06,0
3.5659892559051514,0.01,0
3.5753939151763916,0.09,0
3.592707395553589,-0.06,0
3.601759433746338,0.01,0
3.6159000396728516,0.09,0
3.6323697566986084,-0.06,0
3.6414806842803955,0.01,0
3.6541974544525146,0.09,0
3.6713809967041016,-0.06,0
3.683173656463623,0.01,0
3.6990692615509033,0.08,0
3.7112720012664795,-0.06,0
3.7212564945220947,0.01,0
3.7337467670440674,0.08,0
3.7512454986572266,-0.07,0
3.7658607959747314,0.01,0
3.7778584957122803,0.09,0
3.7914013862609863,-0.04,0
3.801494836807251,0.03,0
3.81886887550354,0.1,0
3.832319974899292,-0.05,0
3.8414664268493652,0.03,0
3.8546156883239746,0.14,0
3.8713126182556152,0.07,0
3.882509231567383,0.21,1
3.899115800857544,0.33,1
3.91149640083313,0.17,1
3.9238266944885254,0.19,1
3.93384051322937,0.21,1
3.952348232269287,0.02,0
3.9657657146453857,0.02,0
3.9789681434631348,-0.02,0
3.9913721084594727,-0.25,0
4.002492666244507,-0.22,0
4.01596736907959,-0.16,0
4.031965255737305,-0.32,0
4.041168689727783,-0.25,0
4.054737329483032,-0.15,0
4.071401834487915,-0.27,0
4.084741115570068,-0.2,0
4.098783254623413,-0.1,0
4.111462593078613,-0.21,0
4.123427152633667,-0.14,0
4.134322643280029,-0.06,0
4.151647567749023,-0.17,0
4.164841651916504,-0.09,0
4.172528505325317,-0.01,0
4.192573070526123,-0.13,0
4.201241731643677,-0.05,0
4.216628551483154,0.03,0
4.2324347496032715,-0.1,0
4.241456508636475,-0.02,0
4.255126953125,0.06,0
4.271208047866821,-0.07,0
4.283281326293945,0.01,0
4.299136400222778,0.09,0
4.311175584793091,-0.05,0
4.322497844696045,0.03,0
4.334089994430542,0.11,0
4.351623058319092,-0.03,0
4.365760564804077,0.04,0
4.37285590171814,0.12,0
4.391399145126343,-0.02,0
4.401343822479248,0.05,0
4.418090581893921,0.12,0
4.432381629943848,-0.02,0
4.441280841827393,0.06,0
4.453718662261963,0.13,0
4.471561431884766,-0.02,0
4.484681129455566,0.05,0
4.49894642829895,0.13,0
4.511245965957642,-0.02,0
4.521677494049072,0.05,0
4.534152507781982,0.12,0
4.552632808685303,-0.02,0
4.565797805786133,0.04,0
4.573398590087891,0.11,0
4.5912957191467285,-0.03,0
4.601477384567261,0.03,0
4.615575313568115,0.1,0
4.632340431213379,-0.04,0
4.643438816070557,0.03,0
4.652540683746338,0.1,0
4.671638011932373,-0.04,0
4.685647964477539,0.03,0
4.699081897735596,0.09,0
4.711593389511108,-0.05,0
4.724398612976074,0.02,0
4.734277963638306,0.09,0
4.752362966537476,-0.05,0
4.7657530307769775,0.02,0
4.772439956665039,0.08,0
4.792626857757568,-0.06,0
4.803507328033447,0.01,0
4.816965341567993,0.08,0
4.832485675811768,-0.06,0
4.841620683670044,0.01,0
4.854872941970825,0.08,0
4.871469020843506,-0.06,0
4.882135629653931,-0.01,0
4.898904800415039,0.05,0
4.911650657653809,-0.09,0
4.921287536621094,-0.01,0
4.9340901374816895,0.06,0
4.951430082321167,-0.08,0
4.9648332595825195,-0.01,0
4.972496509552002,0.06,0
4.991317272186279,-0.08,0
5.002601623535156,-0.01,0
5.017707109451294,0.06,0
5.032402515411377,-0.07,0
5.041322946548462,0.0,0
5.057324409484863,0.07,0
5.072403192520142,-0.06,0
5.084885358810425,0.0,0
5.099311590194702,0.07,0
5.1111900806427,-0.06,0
5.1233789920806885,0.01,0
5.132365942001343,0.07,0
5.151525497436523,-0.06,0
5.1660380363464355,0.01,0
5.1770851612091064,0.08,0
5.191554546356201,-0.06,0
5.2011847496032715,0.01,0
5.216824054718018,0.08,0
5.232123374938965,-0.05,0
5.242652893066406,0.02,0
5.25415825843811,0.08,0
5.271214962005615,-0.06,0
5.283027410507202,0.0,0
5.29818058013916,0.06,0
5.311615705490112,-0.07,0
5.321678638458252,0.0,0
5.334424257278442,0.06,0
5.3515784740448,-0.08,0
5.364703178405762,-0.01,0
5.37149715423584,0.05,0
5.391316652297974,-0.08,0
5.4014732837677,-0.01,0
5.41764497756958,0.05,0
5.432835817337036,-0.09,0
5.441438436508179,-0.02,0
5.455790758132935,0.04,0
5.471271276473999,-0.09,0
5.482885837554932,-0.02,0
5.499230861663818,0.04,0
5.511288404464722,-0.09,0
5.5247015953063965,-0.02,0
5.539035797119141,0.04,0
5.551281452178955,-0.09,0
5.565260410308838,-0.02,0
5.573338031768799,0.04,0
5.591288328170776,-0.09,0
5.604355573654175,-0.02,0
5.616457462310791,0.04,0
5.632068157196045,-0.08,0
5.641510486602783,-0.01,0
5.655019521713257,0.04,0
5.671550273895264,-0.09,0
5.683845043182373,-0.02,0
5.698763608932495,0.04,0
5.711503744125366,-0.08,0
5.723426818847656,-0.01,0
5.7368199825286865,0.05,0
5.7516069412231445,-0.08,0
5.765687704086304,-0.01,0
5.7726149559021,0.04,0
5.791289329528809,-0.08,0
5.801177501678467,-0.01,0
5.815922260284424,0.04,0
5.83212685585022,-0.08,0
5.841437578201294,-0.01,0
5.8555989265441895,0.05,0
5.871495485305786,-0.08,0
5.882105588912964,-0.01,0
5.898255109786987,0.05,0
5.911172151565552,-0.08,0
5.923352479934692,-0.0,0
5.932679176330566,0.05,0
5.9518327713012695,-0.07,0
5.965690851211548,0.0,0
5.975858449935913,0.06,0
5.991321802139282,-0.06,0
6.001416921615601,0.01,0
6.016908884048462,0.06,0
6.0320093631744385,-0.06,0
6.041263818740845,0.01,0
6.055548429489136,0.07,0
6.071631669998169,-0.06,0
6.083389759063721,0.01,0
6.09893798828125,0.07,0
6.111216306686401,-0.06,0
6.121321439743042,0.02,0
6.133253812789917,0.07,0
6.151538372039795,-0.06,0
6.165769815444946,0.01,0
6.172501087188721,0.07,0
6.192399024963379,-0.05,0
6.201778173446655,0.02,0
6.218494415283203,0.07,0
6.232367277145386,-0.04,0
6.241376876831055,0.04,0
6.254370212554932,0.08,0
6.271161317825317,-0.04,0
6.282840013504028,0.02,0
6.299005746841431,0.07,0
6.311362266540527,-0.05,0
6.3233771324157715,0.02,0
6.333889007568359,0.07,0
6.3512420654296875,-0.05,0
6.365617036819458,0.02,0
6.372562646865845,0.07,0
6.391355991363525,-0.05,0
6.401578426361084,0.01,0
6.418144702911377,0.06,0
6.431867599487305,-0.06,0
6.441516876220703,0.01,0
6.45472264289856,0.05,0
6.471405267715454,-0.07,0
6.482949256896973,0.0,0
6.499059200286865,0.05,0
6.511491775512695,-0.07,0
6.521266937255859,0.0,0
6.533632278442383,0.06,0
6.552213191986084,-0.06,0
6.565644979476929,0.01,0
6.571377992630005,0.05,0
6.591639995574951,-0.06,0
6.601149559020996,0.01,0
6.616172552108765,0.06,0
6.632359266281128,-0.06,0
6.641464710235596,0.02,0
6.655650615692139,0.06,0
