time,signal,peak
0.0,0.07,0
0.0,0.39,1
0.0,0.85,1
0.0,0.94,1
0.0025298595428466797,0.59,1
0.0025298595428466797,0.38,1
0.0025298595428466797,0.41,1
0.0025298595428466797,0.27,1
0.0025298595428466797,0.06,0
0.0025298595428466797,0.03,0
0.0025298595428466797,-0.04,0
0.0025298595428466797,-0.12,0
0.01911449432373047,-0.09,0
0.031560420989990234,-0.13,0
0.0388331413269043,-0.18,0
0.05744647979736328,-0.13,0
0.06945633888244629,-0.17,0
0.08243203163146973,-0.21,0
0.09837937355041504,-0.15,0
0.10723304748535156,-0.19,0
0.12190032005310059,-0.22,0
0.13746190071105957,-0.15,0
0.14914441108703613,-0.19,0
0.16504859924316406,-0.23,0
0.17737889289855957,-0.16,0
0.18734478950500488,-0.19,0
0.20235872268676758,-0.22,0
0.21852445602416992,-0.15,0
0.231856107711792,-0.18,0
0.23828935623168945,-0.22,0
0.2571723461151123,-0.15,0
0.26845479011535645,-0.18,0
0.2851135730743408,-0.21,0
0.2985398769378662,-0.14,0
0.30734920501708984,-0.18,0
0.3197968006134033,-0.21,0
0.33733367919921875,-0.15,0
0.34949779510498047,-0.17,0
0.36502718925476074,-0.2,0
0.37738609313964844,-0.13,0
0.3872811794281006,-0.16,0
0.4026179313659668,-0.18,0
0.4172244071960449,-0.1,0
0.4321939945220947,-0.13,0
0.4386148452758789,-0.16,0
0.4572727680206299,-0.09,0
0.46735668182373047,-0.12,0
0.48273420333862305,-0.15,0
0.4993584156036377,-0.08,0
0.5123465061187744,-0.1,0
0.5204784870147705,-0.13,0
0.5373029708862305,-0.06,0
0.5510168075561523,-0.09,0
0.5657973289489746,-0.11,0
0.5774431228637695,-0.03,0
0.5870847702026367,-0.06,0
0.6030471324920654,-0.09,0
0.6171960830688477,-0.02,0
0.631758451461792,-0.04,0
0.6392900943756104,-0.07,0
0.6571543216705322,0.0,0
0.6671674251556396,-0.02,0
0.6857607364654541,-0.05,0
0.6984798908233643,0.02,0
0.707275390625,-0.01,0
0.7215931415557861,-0.03,0
0.7375776767730713,0.04,0
0.7512779235839844,0.01,0
0.7656099796295166,-0.01,0
0.7773640155792236,0.06,0
0.7874186038970947,0.03,0
0.8030509948730469,0.0,0
0.8174259662628174,0.08,0
0.832603931427002,0.04,0
0.8396492004394531,0.01,0
0.8587996959686279,0.09,0
0.8695757389068604,0.06,0
0.8828799724578857,0.03,0
0.899298906326294,0.1,0
0.9097251892089844,0.07,0
0.921165943145752,0.04,0
0.9381988048553467,0.12,0
0.9491984844207764,0.09,0
0.9655144214630127,0.06,0
0.9771389961242676,0.13,0
0.987149715423584,0.09,0
1.003169298171997,0.06,0
1.0170483589172363,0.13,0
1.032203197479248,0.1,0
1.0409233570098877,0.07,0
1.0570831298828125,0.14,0
1.067253828048706,0.1,0
1.0862371921539307,0.07,0
1.0987098217010498,0.13,0
1.1084394454956055,0.1,0
1.1232514381408691,0.07,0
1.1372907161712646,0.14,0
1.1508958339691162,0.1,0
1.1656663417816162,0.06,0
1.1770339012145996,0.13,0
1.1873748302459717,0.09,0
1.203596830368042,0.06,0
1.2173898220062256,0.13,0
1.2319605350494385,0.09,0
1.237076997756958,0.06,0
1.2569973468780518,0.13,0
1.2692444324493408,0.09,0
1.2823851108551025,0.05,0
1.298516035079956,0.11,0
1.3101894855499268,0.08,0
1.3184444904327393,0.05,0
1.339193344116211,0.11,0
1.3524882793426514,0.07,0
1.365149736404419,0.04,0
1.3771450519561768,0.11,0
1.3874011039733887,0.07,0
1.4034435749053955,0.03,0
1.4180395603179932,0.1,0
1.4318199157714844,0.06,0
1.4370458126068115,0.03,0
1.458794355392456,0.09,0
1.4673659801483154,0.05,0
1.4825425148010254,0.02,0
1.4985992908477783,0.08,0
